symbol,name,sector
HDFGS.IS,HEDEF GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,Other
HEDEF.IS,HEDEF HOLDİNG A.Ş.,Other
HEKTS.IS,HEKTAŞ TİCARET T.A.Ş.,Other
HKTM.IS,HİDROPAR HAREKET KONTROL TEKNOLOJİLERİ MERKEZİ SANAYİ VE TİCARET A.Ş.,Other
HLGYO.IS,HALK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
HTTBT.IS,HİTİT BİLGİSAYAR HİZMETLERİ A.Ş.,Other
HUBVC.IS,HUB GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,Other
HUNER.IS,HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,Other
HURGZ.IS,HÜRRİYET GAZETECİLİK VE MATBAACILIK A.Ş.,Other
ICBCT.IS,ICBC TURKEY BANK A.Ş.,Other
ICUGS.IS,ICU GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,Other
IDEAS.IS,İDEAL FİNANSAL TEKNOLOJİLER VE DANIŞMANLIK A.Ş.,Other
IDGYO.IS,İDEALİST GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
IEYHO.IS,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.,Other
IHAAS.IS,İHLAS HABER AJANSI A.Ş.,Other
IHEVA.IS,İHLAS EV ALETLERİ İMALAT SANAYİ VE TİCARET A.Ş.,Other
IHGZT.IS,İHLAS GAZETECİLİK A.Ş.,Other
IHLAS.IS,İHLAS HOLDİNG A.Ş.,Other
IHLGM.IS,İHLAS GAYRİMENKUL PROJE GELİŞTİRME VE TİCARET A.Ş.,Other
IHYAY.IS,İHLAS YAYIN HOLDİNG A.Ş.,Other
IMASM.IS,İMAŞ MAKİNA SANAYİ A.Ş.,Other
INDES.IS,İNDEKS BİLGİSAYAR SİSTEMLERİ MÜHENDİSLİK SANAYİ VE TİCARET A.Ş.,Other
INFO.IS,İNFO YATIRIM MENKUL DEĞERLER A.Ş.,Other
INGRM.IS,INGRAM MİCRO BİLİŞİM SİSTEMLERİ A.Ş.,Other
INTEM.IS,İNTEMA İNŞAAT VE TESİSAT MALZEMELERİ YATIRIM VE PAZARLAMA A.Ş.,Other
INVEO.IS,INVEO YATIRIM HOLDİNG A.Ş.,Other
INVES.IS,INVESTCO HOLDİNG A.Ş.,Other
IPEKE.IS,İPEK DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,Other
ISATR.IS,TÜRKİYE İŞ BANKASI A.Ş.,Other
ISBIR.IS,İŞBİR HOLDİNG A.Ş.,Other
ISBTR.IS,TÜRKİYE İŞ BANKASI A.Ş.,Other
ISCTR.IS,TÜRKİYE İŞ BANKASI A.Ş.,Other
ISDMR.IS,İSKENDERUN DEMİR VE ÇELİK A.Ş.,Other
ISFIN.IS,İŞ FİNANSAL KİRALAMA A.Ş.,Other
ISGSY.IS,İŞ GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,Other
ISGYO.IS,İŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
