symbol,name,sector,status,observations,median_daily_turnover
RTALB.IS,RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,Other,PASS,1503,70485769.2859497
ISDMR.IS,İSKENDERUN DEMİR VE ÇELİK A.Ş.,Other,PASS,1502,70298459.33773232
KONYA.IS,KONYA ÇİMENTO SANAYİİ A.Ş.,Other,PASS,1502,70251411.14550781
VESBE.IS,VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,70223967.14604378
BSOKE.IS,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,Other,PASS,1502,69555464.12246501
BOBET.IS,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,Other,PASS,1299,69195157.03300476
USAK.IS,UŞAK SERAMİK SANAYİ A.Ş.,Other,PASS,1503,68616898.90686572
MOBTL.IS,MOBİLTEL İLETİŞİM HİZMETLERİ SANAYİ VE TİCARET A.Ş.,Other,PASS,1181,68307213.5227704
IEYHO.IS,IŞIKLAR ENERJİ VE YAPI HOLDİNG A.Ş.,Other,PASS,1502,68189154.28760433
CLEBI.IS,ÇELEBİ HAVA SERVİSİ A.Ş.,Other,PASS,1502,67799814.5232544
POLHO.IS,POLİSAN HOLDİNG A.Ş.,Other,PASS,1503,67743182.71414661
HUNER.IS,HUN YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,Other,PASS,1119,67002672.50081468
KLGYO.IS,KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1502,66797974.45771265
FORTE.IS,FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,Other,PASS,595,66729797.37815857
KLSER.IS,KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.,Other,PASS,760,66667747.424007416
JANTS.IS,JANTSA JANT SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,65696945.18717432
NATEN.IS,NATUREL YENİLENEBİLİR ENERJİ TİCARET A.Ş.,Other,PASS,1503,65495384.0393734
LIDER.IS,LDR TURİZM A.Ş.,Other,PASS,1089,65418681.50663376
